Model,driver-top3,driver-dnf,driver-position,user-churn,item-sales,post-votes,user-engagement,user-badge,user-repeat,user-ignore,user-attendance,user-visits,user-clicks,ad-ctr,study-outcome,study-adverse,site-success
Task,classification,classification,regression,classification,regression,regression,classification,classification,classification,classification,regression,classification,classification,regression,classification,regression,regression
RelGNN,85.69,75.29,3.798,70.93,0.054,0.065,90.75,88.98,79.61,86.18,0.238,66.18,68.23,0.037,71.24,44.681,0.301
RelGT,83.52,75.87,3.92,69.27,0.0536,0.0654,90.53,86.32,76.09,81.57,0.25,66.78,68.3,0.0345,68.61,43.99,0.326
Graphsage,75.54,72.62,4.022,69.88,0.056,0.065,90.59,88.86,76.89,81.62,0.258,66.2,65.9,0.041,68.6,44.473,0.4
Rel-LLM,82.22,77.15,3.967,70.55,0.052,0.062,91.21,89.64,79.26,83.74,0.251,67.01,66.74,0.037,71.04,43.682,0.397
KumoRFM (icl),91.07,82.41,2.747,67.71,0.04,0.065,87.09,80,76.08,89.2,0.264,64.85,64.11,0.035,70.79,58.231,0.417
KumoRFM (fine-tuned),99.62,82.63,2.731,71.23,0.034,0.065,90.7,89.86,80.64,89.43,0.238,78.3,66.83,0.034,71.76,44.225,0.301
RDL (val-selected),82.41,74.35,4.0491,70.98,0.0511,0.0665,88.95,88.41,81.25,83.66,0.2397,66.77,67.16,0.0346,71.41,44.5706,0.3932
RDL (ours),85.94,77.2,3.8029,70.98,0.0509,0.0651,90.56,88.51,82.89,86.77,0.2397,66.87,68.77,0.034,74.13,43.988,0.3236
DFS (val-selected),84.7,76.89,3.366,65.29,0.078,0.068,78.47,85.17,77.2,77.2,0.263,65.29,62.34,0.038,70.59,49.95,0.391
DFS (ours),85.71,79.42,3.273,68.23,0.075,0.066,87.28,86.47,79.26,84.43,0.238,66.74,69.19,0.037,71.82,44.11,0.349
Best (ours),85.94,79.42,3.273,70.98,0.0509,0.0651,90.56,88.51,82.89,86.77,0.238,66.87,69.19,0.034,74.13,43.988,0.3236
Griffin,77.95,70.91,4.2,68.04,0.081,0.0622,87.56,85.99,77.93,82.35,0.3336,64.68,63.3,0.0639,69.08,45.21,0.3765
