dataset_name,task_name,task_type,rdl_test_metric_selected_by_val,dfs_test_metric_selected_by_val,rdl_test_metric_selected_by_test,dfs_test_metric_selected_by_test,rdl_advantage_selected_by_val,rdl_advantage_selected_by_test,train_rows,val_rows,test_rows,h_edges_corr_min,h_edges_corr_max,h_edges_corr_mean,h_edges_corr_mode,h_edges_corr_weighted_mean,h_edges_corr_weighted_abs,h_edges_corr_weighted_var,h_adjs_corr_min,h_adjs_corr_max,h_adjs_corr_mean,h_adjs_corr_mode,h_adjs_corr_weighted_mean,h_adjs_corr_weighted_abs,h_adjs_corr_weighted_var,tabpfn_1hop,tabpfn_2hop,rfr_randomsage_1,rfr_randomsage_2,rfr_randomsage_3,rfr_randomnbfnet_1,rfr_randomnbfnet_2,rfr_randomnbfnet_3,at_dfs_1_1,at_dfs_1_2,at_dfs_1_3,at_dfs_1_4,at_dfs_1_5,at_dfs_1_6,at_dfs_2_1,at_dfs_2_2,at_dfs_2_3,at_dfs_2_4,at_dfs_2_5,at_dfs_2_6,at_rdl_1,at_rdl_2,at_rdl_3,at_rdl_4,at_rdl_5,at_rdl_6,at_rdl_7,at_rdl_8,at_rdl_9,at_rdl_10,at_rdl_11,at_rdl_12,global_zero_train,global_zero_val,global_mean_train,global_mean_val,global_median_train,global_median_val,entity_mean_train,entity_mean_val,entity_median_train,entity_median_val,majority_train,majority_val,h_edges_min,h_edges_max,h_edges_mean,h_edges_mode,h_edges_weighted_mean,h_edges_weighted_abs,h_edges_weighted_var,h_adjs_min,h_adjs_max,h_adjs_mean,h_adjs_mode,h_adjs_weighted_mean,h_adjs_weighted_abs,h_adjs_weighted_var,lag1_autocorr_corr,lag2_autocorr_corr,lag3_autocorr_corr,sparsity_ratio,variance_same_class_ratio,mean_past_task_nodes,mean_same_class_ratio_ignore,adjusted_mean_same_class_ratio
rel-avs,repeater,auto_binary_classification,59.658,54.674,59.660,57.222,0.084,0.041,109341,23206,19356,0.635,0.665,0.650,0.665,0.654,0.654,0.000,0.039,0.048,0.043,0.048,0.045,0.045,0.000,0.507,0.556,0.552,0.514,0.476,0.555,0.503,0.426,35.841,14.300,22.293,16.408,49.035,28.100,17.704,21.548,56.361,49.187,13.687,17.062,99.176,77.082,626.668,564.095,380.237,520.973,12.038,11.672,39.646,39.423,139.769,103.613,0.500,0.500,0.500,0.500,0.500,0.500,0.675,0.589,0.549,0.500,0.500,0.500,0.635,0.665,0.650,0.665,0.654,0.654,0.000,0.039,0.048,0.043,0.048,0.045,0.045,0.000,0.000,0.000,0.000,0.000,0.000,70.609,1.000,1.000
rel-ieeecis,transaction-fraud,auto_binary_classification,85.720,83.749,86.278,83.749,0.023,0.029,354323,118107,118107,0.907,0.948,0.927,0.948,0.933,0.933,0.000,0.016,0.017,0.017,0.017,0.017,0.017,0.000,0.898,0.897,0.768,0.737,0.738,0.712,0.729,0.750,16.205,11.882,40.761,33.934,9.762,9.951,7.793,7.315,10.598,9.673,8.614,8.559,58.483,39.640,141.785,114.832,45.814,44.542,10.096,9.908,13.120,13.691,17.953,20.658,0.500,0.500,0.500,0.500,0.500,0.500,1.000,1.000,1.000,1.000,0.500,0.500,0.907,0.948,0.927,0.948,0.933,0.933,0.000,0.016,0.017,0.017,0.017,0.017,0.017,0.000,0.000,0.000,0.000,,,,,
rel-f1,driver-dnf,binary_classification,74.347,77.978,77.198,78.671,-0.047,-0.019,11411,566,702,0.804,0.839,0.815,0.805,0.818,0.818,0.000,-0.119,0.146,0.014,-0.007,0.018,0.049,0.004,0.621,0.708,0.635,0.622,0.630,0.621,0.587,0.478,64.727,37.892,44.625,43.085,32.348,19.083,24.410,25.890,40.600,41.404,17.177,17.703,1034.356,1436.128,106.217,101.892,56.685,74.923,20.171,18.502,580.349,780.074,79.636,101.582,0.500,0.500,0.500,0.500,0.500,0.500,0.836,0.820,0.547,0.613,0.500,0.500,0.804,0.839,0.815,0.805,0.818,0.818,0.000,-0.119,0.146,0.014,-0.007,0.018,0.049,0.004,0.234,0.206,0.194,0.068,0.270,15.914,0.824,0.844
rel-trial,study-adverse,regression,44.571,44.113,43.988,44.113,-0.010,0.003,43335,3596,3098,0.005,1.000,0.768,1.000,0.101,0.101,0.080,0.005,1.000,0.768,1.000,0.101,0.101,0.080,20.817,18.691,65.310,65.124,65.349,65.379,66.616,65.578,16.460,13.078,67.690,82.183,49.133,48.531,98.599,126.686,44.932,43.228,16.361,19.388,2251.514,2420.229,108.158,108.818,29.290,40.322,35.332,38.633,320.118,284.472,86.317,72.458,39.843,57.083,60.008,87.254,39.620,56.786,0.000,0.000,0.000,0.000,39.843,57.083,0.911,1.000,0.985,1.000,0.944,0.944,0.001,0.790,1.000,0.966,1.000,0.868,0.868,0.003,0.000,0.000,0.000,0.986,0.000,0.034,0.003,0.003
rel-stack,user-engagement,binary_classification,88.947,85.881,90.560,86.304,0.034,0.047,1360850,85838,88137,0.332,0.762,0.500,0.459,0.472,0.472,0.006,-0.998,0.392,-0.141,-0.114,-0.204,0.240,0.081,0.752,0.855,0.797,0.788,0.801,0.836,0.839,0.758,17.642,21.945,36.395,40.488,19.110,16.959,10.220,12.575,13.407,14.338,11.484,12.167,85.440,75.263,140.662,211.619,24.705,25.130,14.216,26.666,288.275,267.908,34.179,21.420,0.500,0.500,0.500,0.500,0.500,0.500,0.942,1.000,0.631,1.000,0.500,0.500,0.332,0.762,0.500,0.459,0.472,0.472,0.006,-0.998,0.392,-0.141,-0.114,-0.204,0.240,0.081,0.402,0.361,0.346,0.015,0.247,16.341,0.670,0.196
rel-f1,driver-top3,binary_classification,82.413,84.690,85.942,86.538,-0.027,-0.007,1353,588,726,0.785,0.828,0.800,0.787,0.798,0.798,0.000,-0.036,0.089,0.010,-0.022,0.005,0.034,0.002,0.662,0.820,0.664,0.549,0.672,0.686,0.641,0.675,11.930,15.395,22.933,28.321,20.350,18.494,10.695,36.552,32.260,25.638,18.620,19.135,488.117,432.833,150.643,132.345,84.133,73.246,27.839,17.319,984.486,758.352,64.231,82.560,0.500,0.500,0.500,0.500,0.500,0.500,0.907,0.911,0.681,0.790,0.500,0.500,0.785,0.828,0.800,0.787,0.798,0.798,0.000,-0.036,0.089,0.010,-0.022,0.005,0.034,0.002,0.549,0.536,0.486,0.079,0.277,8.612,0.833,0.815
rel-f1,driver-position,regression,4.049,3.366,3.803,3.273,-0.169,-0.139,7453,499,760,0.028,1.000,0.259,1.000,0.098,0.098,0.033,0.028,1.000,0.259,1.000,0.098,0.098,0.033,3.769,3.222,3.705,3.560,3.597,3.543,3.885,3.758,37.315,42.242,25.580,25.518,21.359,13.015,10.025,10.640,13.944,24.352,22.607,22.569,32919.027,38961.121,105.441,107.210,64.270,88.766,35.185,32.964,886.525,899.003,73.797,66.670,13.901,11.083,5.563,3.868,5.548,3.860,4.141,2.684,4.053,2.636,5.568,3.872,0.631,1.000,0.781,1.000,0.695,0.695,0.008,0.128,1.000,0.482,1.000,0.278,0.278,0.043,0.461,0.424,0.368,0.104,0.000,8.831,0.290,0.290
rel-avito,user-visits,binary_classification,66.773,65.719,66.866,66.283,0.016,0.009,86619,29979,36129,0.845,0.953,0.915,0.845,0.857,0.857,0.001,-0.010,0.491,0.172,0.025,0.011,0.023,0.002,0.801,0.693,0.642,0.618,0.646,0.659,0.643,0.636,45.722,42.463,179.298,229.020,104.574,64.820,40.001,23.706,70.767,81.226,23.749,20.171,157.059,173.795,275.567,266.340,87.281,74.316,10.316,10.341,894.235,550.142,67.897,94.279,0.500,0.500,0.500,0.500,0.500,0.500,0.985,1.000,0.896,1.000,0.500,0.500,0.845,0.953,0.915,0.845,0.857,0.857,0.001,-0.010,0.491,0.172,0.025,0.011,0.023,0.002,0.139,0.129,0.000,0.512,0.284,1.330,0.902,0.750
rel-stack,user-badge,binary_classification,88.407,84.852,88.507,85.503,0.040,0.034,3386276,247398,255360,0.386,0.717,0.509,0.452,0.475,0.475,0.004,-0.490,0.376,-0.052,-0.148,-0.124,0.159,0.026,0.715,0.874,0.841,0.818,0.780,0.797,0.800,0.776,32.658,30.537,37.440,30.799,30.003,39.395,11.417,13.402,16.152,15.647,33.771,22.371,84.192,105.018,145.309,184.764,35.798,35.541,12.401,11.933,155.833,490.593,42.195,29.915,0.500,0.500,0.500,0.500,0.500,0.500,0.925,1.000,0.590,1.000,0.500,0.500,0.386,0.717,0.509,0.452,0.475,0.475,0.004,-0.490,0.376,-0.052,-0.148,-0.124,0.159,0.026,0.212,0.210,0.218,0.066,0.286,13.378,0.396,-4.042
rel-trial,site-success,regression,0.393,0.391,0.322,0.349,-0.006,0.077,151407,19740,22617,0.642,1.000,0.821,1.000,0.659,0.659,0.006,0.642,1.000,0.821,1.000,0.659,0.659,0.006,0.443,0.441,0.468,0.465,0.469,0.471,0.470,0.470,33.318,65.592,72.938,159.561,141.341,98.398,70.098,75.387,245.864,251.125,26.917,14.078,12218.463,3481.514,461.419,566.686,261.107,181.842,78.046,87.367,3563.447,3568.317,292.716,204.634,0.442,0.475,0.460,0.462,0.442,0.462,0.119,0.000,0.105,0.000,0.442,0.475,0.843,1.000,0.921,1.000,0.850,0.850,0.001,0.628,1.000,0.814,1.000,0.646,0.646,0.006,0.114,0.111,0.143,0.400,0.000,1.763,0.565,0.565
rel-hm,user-churn,binary_classification,70.984,67.590,70.984,67.773,0.048,0.045,3832692,76556,74575,0.729,0.729,0.729,0.729,0.729,0.729,0.000,0.007,0.007,0.007,0.007,0.007,0.007,0.000,0.643,0.684,0.598,0.670,0.574,0.663,0.664,0.632,33.374,47.521,104.922,107.847,47.306,43.836,17.628,14.920,29.609,33.878,27.205,29.118,32.516,28.777,70.926,81.029,18.252,17.547,6.587,6.512,105.405,109.770,29.560,33.011,0.500,0.500,0.500,0.500,0.500,0.500,0.844,1.000,0.610,1.000,0.500,0.500,0.729,0.729,0.729,0.729,0.729,0.729,0.000,0.007,0.007,0.007,0.007,0.007,0.007,0.000,0.104,0.105,0.099,0.223,0.333,4.291,0.691,0.736
rel-event,user-repeat,binary_classification,81.250,76.979,82.894,76.979,0.053,0.071,3842,268,246,0.419,0.611,0.529,0.534,0.544,0.544,0.001,-0.457,0.219,0.008,0.050,0.059,0.078,0.006,0.975,0.709,0.645,0.608,0.565,0.586,0.492,0.620,6.942,10.316,7.158,5.552,5.791,7.588,22.205,15.295,44.861,80.935,15.207,10.554,852.026,4047.073,174.431,108.026,51.378,97.819,24.664,22.386,582.387,154.129,61.894,33.453,0.500,0.500,0.500,0.500,0.500,0.500,0.923,1.000,0.847,1.000,0.500,0.500,0.419,0.611,0.529,0.534,0.544,0.544,0.001,-0.457,0.219,0.008,0.050,0.059,0.078,0.006,0.313,0.208,0.234,0.414,0.417,1.895,0.615,0.556
rel-event,user-ignore,binary_classification,83.661,83.975,86.767,83.975,-0.004,0.032,19239,4185,3949,0.658,0.943,0.806,0.878,0.844,0.844,0.003,-1.159,0.359,0.052,0.224,0.118,0.170,0.028,0.819,0.874,0.885,0.866,0.848,0.880,0.854,0.854,5.834,4.578,40.060,13.951,8.519,7.414,17.645,11.064,30.649,21.903,29.405,14.860,1083.942,1018.934,114.732,133.710,22.982,25.068,8.641,9.141,494.221,542.867,26.065,26.664,0.500,0.500,0.500,0.500,0.500,0.500,0.967,0.995,0.850,0.995,0.500,0.500,0.658,0.943,0.806,0.878,0.844,0.844,0.003,-1.159,0.359,0.052,0.224,0.118,0.170,0.028,0.539,0.501,0.497,0.173,0.308,3.370,0.818,0.810
rel-avito,user-clicks,binary_classification,67.159,66.449,68.773,66.449,0.011,0.034,59454,21183,47996,0.915,0.955,0.929,0.936,0.929,0.929,0.000,-0.025,0.464,0.122,0.014,-0.007,0.025,0.002,0.539,0.597,0.616,0.610,0.635,0.618,0.620,0.641,49.527,52.830,229.697,258.343,43.492,65.578,34.092,37.095,225.531,201.407,73.400,46.413,156.094,188.168,187.085,216.393,47.689,39.782,13.574,11.809,1848.387,757.928,60.249,42.517,0.500,0.500,0.500,0.500,0.500,0.500,0.989,1.000,0.826,1.000,0.500,0.500,0.915,0.955,0.929,0.936,0.929,0.929,0.000,-0.025,0.464,0.122,0.014,-0.007,0.025,0.002,0.146,0.184,0.000,0.579,0.244,1.275,0.928,0.908
rel-avito,ad-ctr,regression,0.035,0.038,0.034,0.037,0.080,0.091,5100,1766,1816,0.013,1.000,0.427,1.000,0.038,0.038,0.012,0.013,1.000,0.427,1.000,0.038,0.038,0.012,0.035,0.028,0.033,0.034,0.033,0.039,0.034,0.033,77.758,100.572,316.634,328.288,70.240,201.693,49.970,61.309,93.579,90.788,57.746,52.437,2616.856,7023.602,297.393,180.935,252.012,416.249,257.780,175.185,1175.616,1586.495,237.034,527.959,0.045,0.048,0.044,0.050,0.036,0.040,0.004,0.000,0.004,0.000,0.045,0.048,0.787,1.000,0.912,1.000,0.799,0.799,0.002,0.495,1.000,0.792,1.000,0.524,0.524,0.011,0.469,0.612,0.000,0.824,0.000,0.195,0.463,0.463
rel-trial,study-outcome,binary_classification,71.411,70.802,74.126,71.824,0.009,0.031,11994,960,825,0.533,0.593,0.565,0.546,0.562,0.562,0.001,0.027,0.104,0.064,0.036,0.058,0.058,0.001,0.657,0.660,0.527,0.533,0.492,0.541,0.520,0.532,94.112,62.426,155.024,74.891,40.984,25.052,14.933,17.113,49.655,185.936,40.704,59.429,170.075,163.707,61.808,79.352,25.237,20.021,9.551,8.390,2011.048,823.417,14.484,13.365,0.500,0.500,0.500,0.500,0.500,0.500,1.000,1.000,1.000,1.000,0.500,0.500,0.533,0.593,0.565,0.546,0.562,0.562,0.001,0.027,0.104,0.064,0.036,0.058,0.058,0.001,0.000,0.000,0.000,0.993,0.417,1.438,0.682,0.384
rel-hm,item-sales,regression,0.051,0.078,0.051,0.075,0.344,0.323,5488184,105542,105542,-0.073,1.000,0.464,1.000,-0.055,0.088,0.019,-0.073,1.000,0.464,1.000,-0.055,0.088,0.019,0.043,0.054,0.103,0.124,0.118,0.131,0.083,0.127,26.226,29.048,56.559,59.748,83.525,71.963,32.589,27.881,66.691,86.227,20.894,20.033,11760.878,3840.926,74.119,100.762,42.929,39.076,38.933,39.408,325.187,620.835,81.399,70.104,0.076,0.086,0.131,0.150,0.076,0.086,0.088,0.000,0.068,0.000,0.076,0.086,0.475,1.000,0.737,1.000,0.484,0.484,0.005,-0.242,1.000,0.379,1.000,-0.222,0.255,0.025,0.768,0.647,0.587,0.004,0.000,14.853,0.272,0.272
rel-stack,post-votes,regression,0.067,0.068,0.065,0.068,0.020,0.041,2453921,156216,160903,-0.059,1.000,0.263,1.000,0.023,0.023,0.012,-0.059,1.000,0.263,1.000,0.023,0.023,0.012,0.050,0.051,0.116,0.122,0.115,0.120,0.117,0.117,22.193,19.886,66.236,44.109,13.071,16.005,9.955,8.649,68.173,68.638,14.549,16.535,756.576,1194.129,91.386,294.417,86.435,45.530,12.908,25.091,1222.704,605.105,20.518,23.942,0.093,0.062,0.174,0.118,0.093,0.062,0.119,0.000,0.082,0.000,0.093,0.062,0.004,1.000,0.718,1.000,0.821,0.821,0.008,-1.357,1.000,0.333,1.000,0.576,0.598,0.042,0.551,0.548,0.547,0.045,0.000,13.773,0.556,0.556
rel-event,user-attendance,regression,0.267,0.240,0.240,0.238,-0.102,-0.005,19239,2013,1958,-0.241,1.000,0.261,1.000,0.100,0.102,0.048,-0.241,1.000,0.261,1.000,0.100,0.102,0.048,0.459,0.400,0.430,0.436,0.435,0.420,0.432,0.429,5.520,7.016,9.439,7.639,5.368,6.197,15.031,19.482,23.321,27.298,60.099,10.350,50871.164,23072.707,507.086,96.093,60.550,42.752,16.748,47.596,185.178,300.995,37.026,24.232,0.363,0.262,0.525,0.403,0.363,0.262,0.211,0.000,0.175,0.000,0.363,0.262,0.321,1.000,0.682,1.000,0.688,0.688,0.008,-0.606,1.000,0.249,1.000,0.262,0.278,0.046,0.510,0.482,0.460,0.191,0.000,2.601,0.235,0.235
rel-f1,constructor-scores-points,binary_classification,80.986,84.979,84.070,88.325,-0.047,-0.048,2213,190,383,0.495,0.602,0.536,0.499,0.517,0.517,0.001,-0.037,0.130,0.033,0.128,0.003,0.049,0.003,0.681,0.833,0.732,0.604,0.830,0.742,0.708,0.796,23.626,19.554,33.296,25.709,32.579,22.619,29.633,21.960,20.319,14.908,21.666,21.616,3727.443,2721.332,85.689,93.363,119.316,55.162,27.702,27.706,319.193,257.353,94.232,156.579,0.500,0.500,0.500,0.500,0.500,0.500,0.859,0.942,0.774,0.877,0.500,0.500,0.495,0.602,0.536,0.499,0.517,0.517,0.001,-0.037,0.130,0.033,0.128,0.003,0.049,0.003,0.489,0.382,0.374,0.072,0.307,9.946,0.687,0.631
